Subject,Topic,Paper Number,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation,Difficulty,Reference Book
Gynaecology,Cervical Cancer,2,Major risk factor for cervical cancer is:,Smoking,HPV infection,Obesity,Late menopause,B,Persistent HPV infection is primary cause.,EASY,Dewhurst
Gynaecology,Endometriosis,2,Most common symptom of endometriosis is:,Infertility,Dysmenorrhea,Amenorrhea,Bleeding,B,Painful menstruation hallmark feature.,MEDIUM,Ten Teachers
Obstetrics,Induction,2,Drug commonly used for induction of labour is:,Oxytocin,Progesterone,Estrogen,Testosterone,A,Oxytocin stimulates uterine contractions.,EASY,Ten Teachers
Obstetrics,Pre-eclampsia,2,The definitive treatment of pre-eclampsia is:,Antihypertensive therapy,Magnesium sulfate,Delivery of fetus and placenta,Bed rest,C,"Delivery removes placenta, resolving pathology.",EASY,Ten Teachers
Gynaecology,Amenorrhea,2,Primary amenorrhea is absence of menstruation by age:,14 years,15 years,16 years,18 years,C,Defined as no menstruation by age 16.,EASY,Ten Teachers
Gynaecology,Fibroids,2,Most common symptom of uterine fibroid is:,Pain,Infertility,Menorrhagia,Amenorrhea,C,Heavy bleeding common presentation.,MEDIUM,Ten Teachers
Obstetrics,Fetal Monitoring,2,Normal fetal heart rate range is:,90–110 bpm,110–160 bpm,160–200 bpm,70–90 bpm,B,Normal baseline is 110–160 bpm.,EASY,Ten Teachers
Obstetrics,Abruptio Placentae,2,Painful bleeding with tender uterus suggests:,Placenta previa,Abruptio placentae,Vasa previa,Cervical erosion,B,Pain and tenderness indicate abruption.,MEDIUM,Ten Teachers
Obstetrics,Eclampsia,2,Loss of which reflex indicates magnesium toxicity?,Biceps reflex,Knee jerk,Ankle jerk,Plantar reflex,B,Loss of knee jerk is earliest sign.,MEDIUM,Dewhurst
Gynaecology,Dysmenorrhea,2,Primary dysmenorrhea is mainly caused by:,Estrogen deficiency,Progesterone deficiency,Prostaglandin excess,Infection,C,Prostaglandins cause uterine contractions.,EASY,Ten Teachers
Gynaecology,Ovarian Tumors,2,Most common benign ovarian tumor is:,Fibroma,Serous cystadenoma,Dermoid cyst,Mucinous cystadenoma,C,Dermoid cyst most common benign tumor.,EASY,Ten Teachers
Obstetrics,PPH,2,Most common cause of postpartum hemorrhage is:,Trauma,Uterine atony,Retained placenta,Coagulopathy,B,Uterine atony accounts for majority.,MEDIUM,Ten Teachers
Obstetrics,Multiple Pregnancy,2,Most common complication in twins is:,Pre-eclampsia,Anemia,Preterm labor,Diabetes,C,Preterm labor most frequent.,MEDIUM,Ten Teachers
Obstetrics,Placenta Previa,2,Classical symptom of placenta previa is:,Painful bleeding,Painless vaginal bleeding,Uterine tenderness,Fever,B,Painless bleeding is classical presentation.,EASY,Ten Teachers
Obstetrics,Labour,2,Second stage of labour begins at:,Onset of contractions,Full cervical dilation,Rupture of membranes,Engagement of head,B,Full dilation marks second stage.,EASY,Ten Teachers
Obstetrics,Labour,2,The second stage of labour begins with:,Rupture of membranes,Full cervical dilation,Engagement of fetal head,Onset of contractions,B,Second stage starts at full cervical dilation and ends with delivery of fetus.,EASY,Ten Teachers
Gynaecology,Amenorrhea,2,Primary amenorrhea is defined as absence of menstruation by age:,14 years,15 years,16 years,18 years,C,Primary amenorrhea is defined as no menstruation by age 16.,EASY,Ten Teachers
Obstetrics,Placenta Previa,2,The classical presentation of placenta previa is:,Painful bleeding,Painless vaginal bleeding,Fever,Severe abdominal pain,B,Placenta previa typically presents with painless bleeding.,EASY,Ten Teachers
Gynaecology,Cervical Cancer,2,The most important risk factor for cervical cancer is:,Smoking,HPV infection,Obesity,Late menopause,B,Persistent HPV infection is the primary etiological factor.,EASY,Dewhurst
Obstetrics,Eclampsia,2,Loss of which reflex indicates magnesium sulfate toxicity?,Biceps reflex,Knee jerk,Ankle jerk,Plantar reflex,B,Loss of knee jerk is earliest sign of magnesium toxicity.,MEDIUM,Dewhurst
Obstetrics,Postpartum Hemorrhage,1,Which of the following is true about Postpartum Hemorrhage?,Option A about Postpartum Hemorrhage,Option B about Postpartum Hemorrhage,Option C about Postpartum Hemorrhage,Correct statement about Postpartum Hemorrhage,D,This is the correct explanation for the statement about Postpartum Hemorrhage.,HARD,Goodman & Gilman
Biochemistry,Carbohydrate Metabolism,2,Which of the following is true about Carbohydrate Metabolism?,Option A about Carbohydrate Metabolism,Option B about Carbohydrate Metabolism,Option C about Carbohydrate Metabolism,Correct statement about Carbohydrate Metabolism,D,This is the correct explanation for the statement about Carbohydrate Metabolism.,MEDIUM,Dewhurst
Pharmacology,Antibiotics,1,Which of the following is true about Antibiotics?,Option A about Antibiotics,Option B about Antibiotics,Option C about Antibiotics,Correct statement about Antibiotics,D,This is the correct explanation for the statement about Antibiotics.,HARD,Harrison's Principles
Pathology,Inflammation,1,Which of the following is true about Inflammation?,Option A about Inflammation,Option B about Inflammation,Option C about Inflammation,Correct statement about Inflammation,D,This is the correct explanation for the statement about Inflammation.,HARD,Gray's Anatomy
Obstetrics,Fetal Distress,2,Which of the following is true about Fetal Distress?,Option A about Fetal Distress,Option B about Fetal Distress,Option C about Fetal Distress,Correct statement about Fetal Distress,D,This is the correct explanation for the statement about Fetal Distress.,EASY,Ten Teachers
Physiology,Respiratory System,2,Which of the following is true about Respiratory System?,Option A about Respiratory System,Option B about Respiratory System,Option C about Respiratory System,Correct statement about Respiratory System,D,This is the correct explanation for the statement about Respiratory System.,MEDIUM,Gray's Anatomy
Forensic Medicine,Legal Aspects,2,Which of the following is true about Legal Aspects?,Option A about Legal Aspects,Option B about Legal Aspects,Option C about Legal Aspects,Correct statement about Legal Aspects,D,This is the correct explanation for the statement about Legal Aspects.,MEDIUM,Ten Teachers
Biochemistry,Enzyme Kinetics,2,Which of the following is true about Enzyme Kinetics?,Option A about Enzyme Kinetics,Option B about Enzyme Kinetics,Option C about Enzyme Kinetics,Correct statement about Enzyme Kinetics,D,This is the correct explanation for the statement about Enzyme Kinetics.,MEDIUM,Robbins Pathology
Community Medicine,Environmental Health,1,Which of the following is true about Environmental Health?,Option A about Environmental Health,Option B about Environmental Health,Option C about Environmental Health,Correct statement about Environmental Health,D,This is the correct explanation for the statement about Environmental Health.,MEDIUM,Harrison's Principles
Biochemistry,Lipid Metabolism,1,Which of the following is true about Lipid Metabolism?,Option A about Lipid Metabolism,Option B about Lipid Metabolism,Option C about Lipid Metabolism,Correct statement about Lipid Metabolism,D,This is the correct explanation for the statement about Lipid Metabolism.,HARD,Harrison's Principles
Microbiology,Antimicrobial Resistance,2,Which of the following is true about Antimicrobial Resistance?,Option A about Antimicrobial Resistance,Option B about Antimicrobial Resistance,Option C about Antimicrobial Resistance,Correct statement about Antimicrobial Resistance,D,This is the correct explanation for the statement about Antimicrobial Resistance.,EASY,Ten Teachers
Microbiology,Viral Infections,2,Which of the following is true about Viral Infections?,Option A about Viral Infections,Option B about Viral Infections,Option C about Viral Infections,Correct statement about Viral Infections,D,This is the correct explanation for the statement about Viral Infections.,HARD,Gray's Anatomy
Community Medicine,Epidemiology,1,Which of the following is true about Epidemiology?,Option A about Epidemiology,Option B about Epidemiology,Option C about Epidemiology,Correct statement about Epidemiology,D,This is the correct explanation for the statement about Epidemiology.,HARD,Dewhurst
